Codigo	Entidade	TipoEntidade	NIF	Rua	Localidade	CodigoPostal	DescrPostal	Email	Telefone	Fax	Sitio	CodigoINE	Eleitores2011	Populacao2011	Area_ha	NomeCompleto
14515	A dos Cunhados e Maceira (TORRES VEDRAS)	Freguesia	510833764	Largo do Mercado	A dos Cunhados (TORRES VEDRAS)	2560-004	A DOS CUNHADOS	freguesia.adcm@gmail.com	261981546	261982749	www.adoscunhados.pt	111321				União das freguesias de A dos Cunhados e Maceira
7640	A dos Francos (CALDAS DA RAINHA)	Freguesia	506893910	Ladeira Dona Palmeira, N.º 2	A dos Francos  (CALDAS DA RAINHA)	2500-010	A DOS FRANCOS	freguesia.afrancos@cm-caldas-rainha.pt	262949534	262949534		100601	1549	1797	1893.21	A dos Francos
7697	A dos Negros (ÓBIDOS)	Freguesia	507513738	Estrada do Pedrogão, N.º 1	A-dos-Negros (ÓBIDOS)	2510-321	A-DOS-NEGROS	fregadosnegros@mail.telepac.pt	262958602	262958009	www.freguesiaadosnegros.pt	101201	1434	1493	1749.38	A dos Negros
14609	A Ver-o-Mar, Amorim e Terroso (PÓVOA DE VARZIM)	Freguesia	510834779	Largo Doutor João Amorim, N.º 62	AVer-o-Mar (PÓVOA DE VARZIM)	4490-021	AVER-O-MAR	junta.averomar@gmail.com	252614540	252692214		131313				União das freguesias de Aver-o-Mar, Amorim e Terroso
14133	Abação e Gémeos (GUIMARÃES)	Freguesia	510833772	RUA DE MANUEL ALMEIDA, 15	ABAÇÃO	4810-692	GUIMARÃES	jfabacao@gmail.com	253519004			30875				União das freguesias de Abação e Gémeos
9237	Abaças (VILA REAL)	Freguesia	507718070	Rua Padre Monteiro, N.º 1	Abaças (VILA REAL)	5000-014	ABAÇAS	jfabacas@gmail.com	254929190	254929190		171401	1207	1074	1887.11	Abaças
5932	Abade de Neiva (BARCELOS)	Freguesia	506994732	Rua Sra. da Abadia N.º 339	Abade de Neiva  (BARCELOS)	4750-005	ABADE DE NEIVA	jfabadedeneiva@gmail.com	253822030	253822030	www.abadedeneiva.maisbarcelos.pt	30201	1592	1869	750.36	Abade de Neiva
6083	Abadim (CABECEIRAS DE BASTO)	Freguesia	507203917	Lugar da Veiga	Abadim (CABECEIRAS DE BASTO)	4860-011	ABADIM	jfabadim@gmail.com	253661448 / 967028313			30401	594	668	1513.64	Abadim
6568	Abambres (MIRANDELA)	Freguesia	508411971	Rua da Junta, N.º 62	Abambres (MIRANDELA)	5370-010	ABAMBRES	jfabambres@gmail.com	278989042	278989042		40701	409	396	1881.60	Abambres
8800	Abedim (MONÇÃO)	Freguesia	508269598	Lugar do Cruzeiro	Abedim (MONÇÃO	4950-010	ABEDIM	jfabedim@sapo.pt	251667329		www.jf-abedim.com	160401	285	260	772.10	Abedim
8681	Abela (SANTIAGO DO CACÉM)	Freguesia	502847190	Largo Coronel Carlos Jesus Vilhena	Abela (SANTIAGO DO CACÉM)	7540-011	ABELA	jfabela@iol.pt	269902159	269920034		150901	928	1107	13767.91	Abela
8542	Abitureiras (SANTARÉM)	Freguesia	506786080	Rua Furriel Vítor José Correia Pestana	Abitureiras (SANTARÉM)	2005-129	ABITUREIRAS	j.f.abitureiras@iol.pt	243469599	243469599	www.abitureiras.com	141601	878	1005	2368.90	Abitureiras
7715	Abiul (POMBAL)	Freguesia	507531302	Rua Muros	Abiul (POMBAL)	3100-012	ABIUL	freguesia.abiul@mail.telepac.pt	236921206	236921206		101501	3307	3090	5368.86	Abiul
14548	Aboadela, Sanche e Várzea (AMARANTE)	Freguesia	510833780	Rua de Ovelha e Honra do Marão, N.º 92	Aboadela (AMARANTE)	4600-500	ABOADELA	junta@aboadela.pt	255425009	255425009		130141				União das freguesias de Aboadela, Sanche e Várzea
14175	Aboim da Nóbrega e Gondomar (VILA VERDE)	Freguesia	510832679	Rua dos Paços do Concelho, 100	Aboim da Nóbrega e Gondomar	4730-010	Vila Verde					31359				Aboim da Nóbrega e Gondomar
8711	Aboim das Choças (ARCOS DE VALDEVEZ)	Freguesia	506992748	Longra	Aboim das Choças (ARCOS DE VALDEVEZ)	4970-016	ABOIM DAS CHOÇAS	jfaboimdaschocas@gmail.com	258561930	258561930	www.jf-aboimdaschocas.com	160101	417	354	182.81	Aboim das Choças
14125	Aboim, Felgueiras, Gontim e Pedraído (FAFE)	Freguesia	510833799	Rua da Roda, N.º 1	Pedraído (FAFE)	4820-555	PEDRAÍDO	uniaoafgp@gmail.com	253492073			30737				União das freguesias de Aboim, Felgueiras, Gontim e Pedraído
5933	Aborim (BARCELOS)	Freguesia	508984009	Rua de S. Martinho, N.º 337	Aborim (BARCELOS)	4750-371	ABORIM	aborim.jf@maisbarcelos.pt	253887430	253887430	www.aborim.maisbarcelos.pt	30202	903	971	618.12	Aborim
8543	Abrã (SANTARÉM)	Freguesia	501345515	Largo da Praça, N.º 13	Abrã (SANTARÉM)	2025-011	ABRÃ	jfabra@iol.pt	243400548	243400773	www.jf-abra.net	141602	1005	1221	2243.88	Abrã
8282	Abragão (PENAFIEL)	Freguesia	507246241	Largo Imaculado Coração de Maria	Abragão (PENAFIEL)	4560-015	ABRAGÃO	junta@abragao.pt	255942167	255942167		131101	2194	2527	953.22	Abragão
14635	Abrantes (São Vicente e São João) e Alferrarede (ABRANTES)	Freguesia	510833802	Av. Defensores de chaves	Abrantes (São Vicente)	2200-301	ABRANTES					140120				União das freguesias de Abrantes (São Vicente e São João) e Alferrarede
9593	Abraveses (VISEU)	Freguesia	507073479	Av.ª Aquilino Ribeiro, N.º 125, R/C	Abraveses (VISEU)	3515-114	ABRAVESES	geral@jf-abraveses.pt	232459249	232459982	www.jf-abraveses.pt	182301	7642	8046	1222.72	Abraveses
6569	Abreiro (MIRANDELA)	Freguesia	507478975	Rua da Carreira	Abreiro (MIRANDELA)	5370-021	ABREIRO	sa.raimundo@hotmail.com	278559022/278559135	278559111		40702	343	311	2402.80	Abreiro
14466	Abrigada e Cabanas de Torres (ALENQUER)	Freguesia	510833810	Beco do Castro, N.º 3	Abrigada (ALENQUER)	2580-014	ABRIGADA	fabrigadacabanastorres@gmail.com	263790230	263790256		110117				União das freguesias de Abrigada e Cabanas de Torres
14312	Abrunheira, Verride e Vila Nova da Barca (MONTEMOR-O-VELHO)	Freguesia	510833829	Rua S. Sebastião, N.º 31	Verride  (MONTEMOR-O-VELHO)	3140-601	VERRIDE	uniao.avv@gmail.com	239676487	239676487		61015				União das freguesias de Abrunheira, Verride e Vila Nova da Barca
9356	Abrunhosa-a-Velha (MANGUALDE)	Freguesia	506974600	Largo de Pelourinho, N.º 5	Abrunhosa-a-Velha (MANGUALDE)	3530-010	ABRUNHOSA-A-VELHA	jf_abrunhosaavelha@hotmail.com	232651843			180601	622	689	1729.94	Abrunhosa-a-Velha
9729	Achada (NORDESTE)	Freguesia	512062714	Rua do Vigário	Achada (NORDESTE)	9630-019	ACHADA	jf.achada@hotmail.com	296452482		www.jfachada.ifreg.pt	420201	445	503	1188.64	Achada
9819	Achadas da Cruz (PORTO MONIZ)	Freguesia	511258704	Sítio da Igreja	Achadas da Cruz (PORTO MONIZ)	9270-013	ACHADAS DA CRUZ		291853378			310601	245	220	788.13	Achadas da Cruz
9730	Achadinha (NORDESTE)	Freguesia	512066442	Rua da Mangana	Achadinha (NORDESTE)	9630-043	ACHADINHA	freguesiachadinha@hotmail.com	296452950	296452999	www.achadinha.net	420202	494	561	1241.27	Achadinha
14657	Achete, Azoia de Baixo e Póvoa de Santarém (SANTARÉM)	Freguesia	510833837	Casais da Igreja	Achete (SANTARÉM)	2000-321	ACHETE	fregacheteazoiapovoa@sapo.pt	243469555	243468330		141629				União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém
6633	Açoreira (TORRE DE MONCORVO)	Freguesia	508771986	Rua Além	Açoreira (TORRE DE MONCORVO)	5160-011	AÇOREIRA	acoreirajf@sapo.pt	279243668	279243668	www.acoreira.com	40901	497	526	2398.03	Açoreira
14376	Açores e Velosa (CELORICO DA BEIRA)	Freguesia	510833845	Largo Divino Espirito Santo	Açores  (CELORICO DA BEIRA)	6360-010	AÇORES	jfacores@sapo.pt				90323				União das freguesias de Açores e Velosa
5934	Adães (BARCELOS)	Freguesia	507183738	Rua de São Pedro, N.º 1185	Adães (BARCELOS)	4755-005	ADÃES	adaes.jf@gmail.com	253913548	253913548	www.adaes.maisbarcelos.pt	30203	661	739	269.03	Adães
14394	Adão (GUARDA)	Freguesia	510832687	Rua do Forno	Adão (GUARDA)	6300-010	ADÃO					90766				Adão
6021	Adaúfe (BRAGA)	Freguesia	507144775	Av. Imaculada Conceição, N.º 135	Adaúfe (BRAGA)	4710-820	ADAÚFE	junta.adaufe@clix.pt	253675321	253675321	www.junta-adaufe.pt	30301	3745	3959	1080.51	Adaúfe
14228	Adeganha e Cardanha (TORRE DE MONCORVO)	Freguesia	510833853	Rua da Junta, N.º 1	Adeganha (TORRE DE MONCORVO)	5160-041	ADEGANHA	ufadeganhacardanha@outlook.pt	 279989205 	 279989205 		40918				União das freguesias de Adeganha e Cardanha
9533	Adorigo (TABUAÇO)	Freguesia	506909301	Rua do Castelo	Adorigo  (TABUAÇO)	5120-011	ADORIGO	adorigojunta@clix.pt	254789582	254789582	www.adorigo.jfreguesia.com	181901	377	420	922.53	Adorigo
14810	Adoufe e Vilarinho de Samardã (VILA REAL)	Freguesia	510833861	Largo de S. Domingos	Gravelos (VILA REAL)	5000-026	ADOUFE					171431				União das freguesias de Adoufe e Vilarinho de Samardã
8946	Afife (VIANA DO CASTELO)	Freguesia	501128590	Caminho do Cruzeiro, N.º 87 - 1º	Afife (VIANA DO CASTELO)	4900-012	AFIFE	juntadeafife@iol.pt	258981610	258981607	www.jf-afife.com	160901	1607	1677	1302.84	Afife
6100	Agilde (CELORICO DE BASTO)	Freguesia	506904520	Urbanização do Assento	Agilde (CELORICO DE BASTO)	4615-802	AGILDE	agilde.junta@sapo.pt	255481182			30501	1106	1294	901.21	Agilde
14407	Agregação das freguesias Sul de Pinhel (PINHEL)	Freguesia	510832695	Rua da Igreja, s/n	Gouveias (PINHEL)	6400-223	GOUVEIAS	gouveiaspomares@gmail.com				91028				Agregação das freguesias Sul de Pinhel
8347	Agrela (SANTO TIRSO)	Freguesia	508586976	Rua Sede da Junta nº 181	Agrela (SANTO TIRSO)	4825-046	AGRELA STS	junta.agrela@mail.telepac.pt	229681674	229684415		131401	1368	1604	698.68	Agrela
14126	Agrela e Serafão (FAFE)	Freguesia	510833870	RUA DO DR. PARCÍDIO DE MATOS, 70	Serafão (FAFE)	4820-770	SERAFÃO		253943286	253943286		30738				União das freguesias de Agrela e Serafão
14189	Agrobom, Saldonha e Vale Pereiro (ALFÂNDEGA DA FÉ)	Freguesia	510833888	Rua da Laranjeira (EM 590)	Agrobom (ALFÂNDEGA DA FÉ)	5350-101	AGROBOM	freguesiaagrobom@gmail.com	914913249			40121				União das freguesias de Agrobom, Saldonha e Vale Pereiro
6683	Agrochão (VINHAIS)	Freguesia	506907180	Edifício Junta de Freguesia	Agrochão (VINHAIS)	5335-011	AGROCHÃO		933837973/278108370			41201	331	293	1748.52	Agrochão
9778	Água de Alto (VILA FRANCA DO CAMPO)	Freguesia	512067511	Estrada Regional, N.º1 A à Rua da Praça	Água de Alto (VILA FRANCA DO CAMPO)	9600-301	ÁGUA D´ALTO	jfaguadalto@gmail.com	296582730	296582730	www.jfaguadalto.com	420601	1513	1624	1841.40	Água de Alto
9724	Água de Pau (LAGOA (SÃO MIGUEL))	Freguesia	512067058	Rua da Ribeira, N.º 27	Água de Pau (SÃO MIGUEL)	9560-217	ÁGUA DE PAU	viladeaguadepau_@hotmail.com	296913440	296913477		420101	2764	3122	1745.53	Água de
9811	Água de Pena (MACHICO)	Freguesia	511242050	Estrada Regional 237, N.º 5	Igreja Água de Pena (MACHICO)	9200-224	ÁGUA DE PENA	"jfaguadepena@sapo.pt;jfaguadepena@iol.pt"	291964260	291964260	www.jf-aguadepena.pt	310401	2018	1759	514.66	Água de Pena
8348	Água Longa (SANTO TIRSO)	Freguesia	507508858	Rua São Julião, N.º 5	Água Longa (SANTO TIRSO)	4825-114	ÁGUA LONGA	fagualonga@sapo.pt	229685217			131402	1801	2134	1287.34	Água Longa
9758	Água Retorta (POVOAÇÃO)	Freguesia	512066060	Rua Direita  	Água Retorta (POVOAÇÃO)	9650-018	ÁGUA RETORTA	aguaretorta1@sapo.pt	296586130	296586130		420401	431	497	1255.16	Água Retorta
9189	Água Revés e Crasto (VALPAÇOS)	Freguesia	506966038	Largo do Prado	Água Revés e Crasto  (VALPAÇOS)	5430-011	ÁGUA REVÉS E CRASTO	jfreguesiaaguareves@gmail.com	278717111			171201	507	415	1898.72	Água Revés e Crasto
5381	Aguada de Cima (ÁGUEDA)	Freguesia	507038150	Praça de Santa Eulália, N.º 65	Aguada de Cima (ÁGUEDA)	3750-041	AGUADA DE CIMA	geral@jf-aguadadecima.pt	234667900	234667900	www.jf-aguadadecima.pt	10103	3596	3952	2839.31	Aguada de Cima
8833	Agualonga (PAREDES DE COURA)	Freguesia	507295137	Lugar das Cerdeiras de S. Caetano	Agualonga (PAREDES DE COURA)	4940-011	AGUALONGA	jfagualonga@sapo.pt	251941217	251941217	www.jf-agualonga.com	160501	296	284	532.29	Agualonga
